2024-06-10 13:56:18
0.928: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.929: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.930: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
0.978: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
0.978: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
0.979: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
0.980: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
1.027: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
1.028: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
1.030: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.030: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
1.077: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
1.078: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
1.078: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.079: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
1.127: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
1.128: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
1.128: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.129: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
1.177: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2E
1.177: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2E
1.178: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.179: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
1.227: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
1.228: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
1.228: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.229: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
1.285: SRC: 0x1, DST: 0x52, MESS: GGS
1.285: SRC: 0x1, DST: 0x53, MESS: GGS
1.286: SRC: 0x52, DST: 0x1, MESS: R00 11 0
1.287: SRC: 0x53, DST: 0x1, MESS: R00 11 0
1.288: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
1.289: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
1.289: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.290: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
1.291: SRC: 0x1, DST: 0x52, MESS: IGI 1
1.292: SRC: 0x1, DST: 0x53, MESS: IGI 1
1.292: SRC: 0x52, DST: 0x1, MESS: R00 2
1.293: SRC: 0x53, DST: 0x1, MESS: R00 2
1.327: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
1.327: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
1.328: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.329: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
1.377: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
1.378: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
1.378: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.379: SRC: 0x53, DST: 0x52, MESS: PDI 2A2E3E26
1.427: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
1.428: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2E
1.429: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.430: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.477: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
1.478: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2F
1.479: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.480: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.527: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
1.528: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2F
1.529: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.530: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.578: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2E
1.579: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2F
1.579: SRC: 0x52, DST: 0x53, MESS: PDI 2A2E3E26
1.580: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.627: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2F
1.628: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2F
1.629: SRC: 0x52, DST: 0x53, MESS: PDI 2A2F3E26
1.630: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.677: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2F
1.678: SRC: 0x53, DST: 0x0, MESS: PDI 2A2D2F
1.679: SRC: 0x52, DST: 0x53, MESS: PDI 2A2F3E26
1.679: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.728: SRC: 0x1, DST: 0x52, MESS: GGS
1.729: SRC: 0x1, DST: 0x53, MESS: GGS
1.729: SRC: 0x52, DST: 0x1, MESS: R00 11 0
1.730: SRC: 0x53, DST: 0x1, MESS: R00 11 0
1.731: SRC: 0x1, DST: 0x52, MESS: IGI 1
1.731: SRC: 0x1, DST: 0x53, MESS: IGI 1
1.732: SRC: 0x52, DST: 0x1, MESS: R00 A
1.733: SRC: 0x53, DST: 0x1, MESS: R00 C
1.734: SRC: 0x52, DST: 0x0, MESS: PDI 2A2D2F
1.735: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2F
1.736: SRC: 0x52, DST: 0x53, MESS: PDI 2A2F3E26
1.736: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.778: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2F
1.779: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2F
1.780: SRC: 0x52, DST: 0x53, MESS: PDI 2A2F3E26
1.780: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.828: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2F
1.829: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2F
1.829: SRC: 0x52, DST: 0x53, MESS: PDI 2A2F3E26
1.830: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.877: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2F
1.878: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2F
1.879: SRC: 0x52, DST: 0x53, MESS: PDI 2A2F3E26
1.880: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.927: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2F
1.928: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2F
1.928: SRC: 0x52, DST: 0x53, MESS: PDI 2A2F3E26
1.929: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.977: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2F
1.978: SRC: 0x53, DST: 0x0, MESS: PDI 2A2C2F
1.979: SRC: 0x52, DST: 0x53, MESS: PDI 2A2F3E26
1.979: SRC: 0x53, DST: 0x52, MESS: PDI 2A2F3E26
1.980: Stop
1.980: Stop
2.027: SRC: 0x52, DST: 0x0, MESS: PDI 2A2C2F
2.028: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2F
2.029: SRC: 0x52, DST: 0x53, MESS: PDI 2B2F3E26
2.030: SRC: 0x53, DST: 0x52, MESS: PDI 2B2F3E26
2.077: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2F
2.078: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2F
2.079: SRC: 0x52, DST: 0x53, MESS: PDI 2B2F3E26
2.079: SRC: 0x53, DST: 0x52, MESS: PDI 2B2F3E26
2.137: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2F
2.137: SRC: 0x1, DST: 0x52, MESS: GGS
2.138: SRC: 0x1, DST: 0x53, MESS: GGS
2.139: SRC: 0x52, DST: 0x1, MESS: R00 11 0
2.140: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2F
2.140: SRC: 0x53, DST: 0x1, MESS: R00 11 0
2.141: SRC: 0x52, DST: 0x53, MESS: PDI 2B2F3E26
2.142: SRC: 0x53, DST: 0x52, MESS: PDI 2B2F3E26
2.143: SRC: 0x1, DST: 0x52, MESS: IGI 1
2.143: SRC: 0x1, DST: 0x53, MESS: IGI 1
2.144: SRC: 0x52, DST: 0x1, MESS: R00 14
2.145: SRC: 0x53, DST: 0x1, MESS: R00 14
2.153: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2F
2.174: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2F
2.175: SRC: 0x52, DST: 0x53, MESS: PDI 2B2F3E26
2.175: SRC: 0x53, DST: 0x52, MESS: PDI 2B2F3E26
2.227: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2F
2.227: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2E
2.228: SRC: 0x52, DST: 0x53, MESS: PDI 2B2E3E26
2.229: SRC: 0x53, DST: 0x52, MESS: PDI 2B2E3E26
2.277: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2E
2.278: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2E
2.278: SRC: 0x52, DST: 0x53, MESS: PDI 2B2E3E26
2.279: SRC: 0x53, DST: 0x52, MESS: PDI 2B2E3E26
2.327: SRC: 0x52, DST: 0x0, MESS: PDI 2B2C2E
2.328: SRC: 0x53, DST: 0x0, MESS: PDI 2B2C2E
